img_name,label
test_024088.jpg,110
test_024089.jpg,98
test_024090.jpg,110
test_024091.jpg,224
test_024092.jpg,202
test_024093.jpg,110
test_024094.jpg,165
test_024095.jpg,89
test_024096.jpg,110
test_024097.jpg,240
test_024098.jpg,111
test_024099.jpg,93
test_024100.jpg,151
test_024101.jpg,215
test_024102.jpg,98
test_024103.jpg,27
test_024104.jpg,181
test_024105.jpg,3
test_024106.jpg,135
test_024107.jpg,215
test_024108.jpg,240
test_024109.jpg,50
test_024110.jpg,240
test_024111.jpg,219
test_024112.jpg,121
test_024113.jpg,236
test_024114.jpg,226
test_024115.jpg,227
test_024116.jpg,119
test_024117.jpg,169
test_024118.jpg,220
test_024119.jpg,99
test_024120.jpg,66
test_024121.jpg,164
test_024122.jpg,195
test_024123.jpg,237
test_024124.jpg,217
test_024125.jpg,240
test_024126.jpg,110
test_024127.jpg,110
test_024128.jpg,190
test_024129.jpg,181
test_024130.jpg,57
test_024131.jpg,143
test_024132.jpg,7
test_024133.jpg,220
test_024134.jpg,190
test_024135.jpg,215
test_024136.jpg,224
test_024137.jpg,68
test_024138.jpg,236
test_024139.jpg,189
test_024140.jpg,218
test_024141.jpg,152
test_024142.jpg,226
test_024143.jpg,190
test_024144.jpg,236
test_024145.jpg,201
test_024146.jpg,111
test_024147.jpg,237
test_024148.jpg,110
test_024149.jpg,226
test_024150.jpg,244
test_024151.jpg,188
test_024152.jpg,206
test_024153.jpg,32
test_024154.jpg,62
test_024155.jpg,27
test_024156.jpg,198
test_024157.jpg,224
test_024158.jpg,152
test_024159.jpg,215
test_024160.jpg,181
test_024161.jpg,33
test_024162.jpg,240
test_024163.jpg,64
test_024164.jpg,52
test_024165.jpg,73
test_024166.jpg,32
test_024167.jpg,110
test_024168.jpg,190
test_024169.jpg,85
test_024170.jpg,245
test_024171.jpg,206
test_024172.jpg,110
test_024173.jpg,225
test_024174.jpg,99
test_024175.jpg,147
test_024176.jpg,249
test_024177.jpg,211
test_024178.jpg,71
test_024179.jpg,57
test_024180.jpg,237
test_024181.jpg,99
test_024182.jpg,190
test_024183.jpg,245
test_024184.jpg,80
test_024185.jpg,78
test_024186.jpg,0
test_024187.jpg,245
test_024188.jpg,235
test_024189.jpg,241
test_024190.jpg,79
test_024191.jpg,110
test_024192.jpg,236
test_024193.jpg,226
test_024194.jpg,241
test_024195.jpg,227
test_024196.jpg,181
test_024197.jpg,78
test_024198.jpg,245
test_024199.jpg,190
test_024200.jpg,225
test_024201.jpg,98
test_024202.jpg,79
test_024203.jpg,203
test_024204.jpg,48
test_024205.jpg,40
test_024206.jpg,66
test_024207.jpg,195
test_024208.jpg,161
test_024209.jpg,32
test_024210.jpg,240
test_024211.jpg,110
test_024212.jpg,215
test_024213.jpg,211
test_024214.jpg,57
test_024215.jpg,190
test_024216.jpg,101
test_024217.jpg,96
test_024218.jpg,55
test_024219.jpg,151
test_024220.jpg,47
test_024221.jpg,181
test_024222.jpg,40
test_024223.jpg,140
test_024224.jpg,211
test_024225.jpg,190
test_024226.jpg,219
test_024227.jpg,146
test_024228.jpg,241
test_024229.jpg,195
test_024230.jpg,129
test_024231.jpg,190
test_024232.jpg,57
test_024233.jpg,87
test_024234.jpg,57
test_024235.jpg,135
test_024236.jpg,69
test_024237.jpg,58
test_024238.jpg,242
test_024239.jpg,0
test_024240.jpg,108
test_024241.jpg,135
test_024242.jpg,220
test_024243.jpg,241
test_024244.jpg,190
test_024245.jpg,66
test_024246.jpg,226
test_024247.jpg,98
test_024248.jpg,195
test_024249.jpg,181
test_024250.jpg,52
test_024251.jpg,14
test_024252.jpg,110
test_024253.jpg,190
test_024254.jpg,181
test_024255.jpg,47
test_024256.jpg,82
test_024257.jpg,39
test_024258.jpg,219
test_024259.jpg,151
test_024260.jpg,78
test_024261.jpg,193
test_024262.jpg,143
test_024263.jpg,40
test_024264.jpg,195
test_024265.jpg,145
test_024266.jpg,163
test_024267.jpg,77
test_024268.jpg,76
test_024269.jpg,249
test_024270.jpg,145
test_024271.jpg,57
test_024272.jpg,64
test_024273.jpg,100
test_024275.jpg,65
test_024276.jpg,227
test_024277.jpg,237
test_024278.jpg,196
test_024279.jpg,211
test_024280.jpg,95
test_024281.jpg,232
test_024282.jpg,190
test_024283.jpg,229
test_024284.jpg,76
test_024285.jpg,98
test_024286.jpg,249
test_024287.jpg,169
test_024288.jpg,3
test_024289.jpg,249
test_024290.jpg,78
test_024291.jpg,207
test_024292.jpg,99
test_024293.jpg,181
test_024294.jpg,181
test_024295.jpg,57
test_024296.jpg,235
test_024297.jpg,181
test_024298.jpg,52
test_024299.jpg,98
test_024300.jpg,181
test_024301.jpg,52
test_024302.jpg,215
test_024303.jpg,227
test_024304.jpg,225
test_024305.jpg,57
test_024306.jpg,232
test_024307.jpg,145
test_024308.jpg,57
test_024309.jpg,145
test_024310.jpg,135
test_024311.jpg,242
test_024312.jpg,211
test_024313.jpg,23
test_024314.jpg,79
test_024315.jpg,121
test_024316.jpg,233
test_024317.jpg,72
test_024318.jpg,101
test_024319.jpg,190
test_024320.jpg,52
test_024321.jpg,218
test_024322.jpg,93
test_024323.jpg,181
test_024324.jpg,94
test_024325.jpg,8
test_024326.jpg,218
test_024327.jpg,219
test_024328.jpg,227
test_024329.jpg,92
test_024330.jpg,181
test_024331.jpg,57
